	direction	thresh	53_TASK01_CON07	53_TASK01_CON08	53_TASK01_CON09	53_TASK02_CON25	53_TASK02_CON26	53_TASK02_CON27	53_TASK03_CON19	53_TASK03_CON20	53_TASK03_CON22	53_TASK04_CON61	53_TASK04_CON62	53_TASK04_CON63	53_TASK04_CON64	53_TASK04_CON65	53_TASK04_CON66	53_TASK04_CON67	53_TASK04_CON68	53_TASK04_CON69	53_TASK04_CON70	53_TASK04_CON71	53_TASK04_CON72	53_TASK04_CON73	53_TASK05_CON13	53_TASK05_CON14	53_TASK05_CON15	53_TASK06_CON01	53_TASK06_CON02	53_TASK06_CON06	53_TASK07_CON31	53_TASK07_CON32	53_TASK07_CON33	53_TASK07_CON34	53_TASK07_CON35	53_TASK07_CON36	53_TASK07_CON37	53_TASK07_CON38	53_TASK07_CON39	53_TASK07_CON40	53_TASK07_CON41	53_TASK07_CON45	53_TASK07_CON46	53_TASK07_CON47	53_TASK07_CON48	53_TASK07_CON49	53_TASK07_CON50	53_TASK07_CON51	53_TASK07_CON52
53_TASK01_CON07_0.0_posneg	posneg	0.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0	228217.0
53_TASK01_CON07_0.0_pos	pos	0.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0	122715.0
53_TASK01_CON07_1.0_posneg	posneg	1.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0	146550.0
53_TASK01_CON07_1.0_pos	pos	1.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0	82277.0
53_TASK01_CON07_2.0_posneg	posneg	2.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0	85663.0
53_TASK01_CON07_2.0_pos	pos	2.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0	52274.0
53_TASK01_CON07_3.0_posneg	posneg	3.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0	47874.0
53_TASK01_CON07_3.0_pos	pos	3.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0	32742.0
53_TASK01_CON07_4.0_posneg	posneg	4.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0	25629.0
53_TASK01_CON07_4.0_pos	pos	4.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0	20314.0
53_TASK01_CON07_5.0_posneg	posneg	5.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0	13516.0
