	direction	thresh	308_TASK01_CON07	308_TASK01_CON08	308_TASK01_CON09	308_TASK02_CON25	308_TASK02_CON26	308_TASK02_CON27	308_TASK03_CON19	308_TASK03_CON20	308_TASK03_CON22	308_TASK04_CON61	308_TASK04_CON62	308_TASK04_CON63	308_TASK04_CON64	308_TASK04_CON65	308_TASK04_CON66	308_TASK04_CON67	308_TASK04_CON68	308_TASK04_CON69	308_TASK04_CON70	308_TASK04_CON71	308_TASK04_CON72	308_TASK04_CON73	308_TASK05_CON13	308_TASK05_CON14	308_TASK05_CON15	308_TASK06_CON01	308_TASK06_CON02	308_TASK06_CON06	308_TASK07_CON31	308_TASK07_CON32	308_TASK07_CON33	308_TASK07_CON34	308_TASK07_CON35	308_TASK07_CON36	308_TASK07_CON37	308_TASK07_CON38	308_TASK07_CON39	308_TASK07_CON40	308_TASK07_CON41	308_TASK07_CON45	308_TASK07_CON46	308_TASK07_CON47	308_TASK07_CON48	308_TASK07_CON49	308_TASK07_CON50	308_TASK07_CON51	308_TASK07_CON52
308_TASK01_CON07_0.0_posneg	posneg	0.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0	228295.0
308_TASK01_CON07_0.0_pos	pos	0.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0	145100.0
308_TASK01_CON07_1.0_posneg	posneg	1.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0	142516.0
308_TASK01_CON07_1.0_pos	pos	1.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0	98591.0
308_TASK01_CON07_2.0_posneg	posneg	2.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0	78265.0
308_TASK01_CON07_2.0_pos	pos	2.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0	59520.0
308_TASK01_CON07_3.0_posneg	posneg	3.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0	41604.0
308_TASK01_CON07_3.0_pos	pos	3.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0	35415.0
308_TASK01_CON07_4.0_posneg	posneg	4.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0	22928.0
308_TASK01_CON07_4.0_pos	pos	4.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0	21222.0
