	direction	thresh	312_TASK01_CON07	312_TASK01_CON08	312_TASK01_CON09	312_TASK02_CON25	312_TASK02_CON26	312_TASK02_CON27	312_TASK03_CON19	312_TASK03_CON20	312_TASK03_CON22	312_TASK04_CON61	312_TASK04_CON62	312_TASK04_CON63	312_TASK04_CON64	312_TASK04_CON65	312_TASK04_CON66	312_TASK04_CON67	312_TASK04_CON68	312_TASK04_CON69	312_TASK04_CON70	312_TASK04_CON71	312_TASK04_CON72	312_TASK04_CON73	312_TASK05_CON13	312_TASK05_CON14	312_TASK05_CON15	312_TASK06_CON01	312_TASK06_CON02	312_TASK06_CON06	312_TASK07_CON31	312_TASK07_CON32	312_TASK07_CON33	312_TASK07_CON34	312_TASK07_CON35	312_TASK07_CON36	312_TASK07_CON37	312_TASK07_CON38	312_TASK07_CON39	312_TASK07_CON40	312_TASK07_CON41	312_TASK07_CON45	312_TASK07_CON46	312_TASK07_CON47	312_TASK07_CON48	312_TASK07_CON49	312_TASK07_CON50	312_TASK07_CON51	312_TASK07_CON52
312_TASK01_CON07_0.0_posneg	posneg	0.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0	228265.0
312_TASK01_CON07_0.0_pos	pos	0.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0	137007.0
312_TASK01_CON07_1.0_posneg	posneg	1.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0	144255.0
312_TASK01_CON07_1.0_pos	pos	1.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0	93251.0
312_TASK01_CON07_2.0_posneg	posneg	2.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0	83264.0
312_TASK01_CON07_2.0_pos	pos	2.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0	59005.0
312_TASK01_CON07_3.0_posneg	posneg	3.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0	47048.0
312_TASK01_CON07_3.0_pos	pos	3.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0	36791.0
312_TASK01_CON07_4.0_posneg	posneg	4.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0	27005.0
312_TASK01_CON07_4.0_pos	pos	4.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0	23460.0
