	direction	thresh	460_TASK01_CON07	460_TASK01_CON08	460_TASK01_CON09	460_TASK02_CON25	460_TASK02_CON26	460_TASK02_CON27	460_TASK03_CON19	460_TASK03_CON20	460_TASK03_CON22	460_TASK04_CON61	460_TASK04_CON62	460_TASK04_CON63	460_TASK04_CON64	460_TASK04_CON65	460_TASK04_CON66	460_TASK04_CON67	460_TASK04_CON68	460_TASK04_CON69	460_TASK04_CON70	460_TASK04_CON71	460_TASK04_CON72	460_TASK04_CON73	460_TASK05_CON13	460_TASK05_CON14	460_TASK05_CON15	460_TASK06_CON01	460_TASK06_CON02	460_TASK06_CON06	460_TASK07_CON31	460_TASK07_CON32	460_TASK07_CON33	460_TASK07_CON34	460_TASK07_CON35	460_TASK07_CON36	460_TASK07_CON37	460_TASK07_CON38	460_TASK07_CON39	460_TASK07_CON40	460_TASK07_CON41	460_TASK07_CON45	460_TASK07_CON46	460_TASK07_CON47	460_TASK07_CON48	460_TASK07_CON49	460_TASK07_CON50	460_TASK07_CON51	460_TASK07_CON52
460_TASK01_CON07_0.0_posneg	posneg	0.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0	228273.0
460_TASK01_CON07_0.0_pos	pos	0.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0	117661.0
460_TASK01_CON07_1.0_posneg	posneg	1.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0	154849.0
460_TASK01_CON07_1.0_pos	pos	1.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0	83127.0
460_TASK01_CON07_2.0_posneg	posneg	2.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0	97280.0
460_TASK01_CON07_2.0_pos	pos	2.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0	57213.0
460_TASK01_CON07_3.0_posneg	posneg	3.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0	58788.0
460_TASK01_CON07_3.0_pos	pos	3.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0	38737.0
460_TASK01_CON07_4.0_posneg	posneg	4.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0	34167.0
460_TASK01_CON07_4.0_pos	pos	4.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0	25694.0
