	direction	thresh	43_TASK01_CON07	43_TASK01_CON08	43_TASK01_CON09	43_TASK02_CON25	43_TASK02_CON26	43_TASK02_CON27	43_TASK03_CON19	43_TASK03_CON20	43_TASK03_CON22	43_TASK04_CON61	43_TASK04_CON62	43_TASK04_CON63	43_TASK04_CON64	43_TASK04_CON65	43_TASK04_CON66	43_TASK04_CON67	43_TASK04_CON68	43_TASK04_CON69	43_TASK04_CON70	43_TASK04_CON71	43_TASK04_CON72	43_TASK04_CON73	43_TASK05_CON13	43_TASK05_CON14	43_TASK05_CON15	43_TASK06_CON01	43_TASK06_CON02	43_TASK06_CON06	43_TASK07_CON31	43_TASK07_CON32	43_TASK07_CON33	43_TASK07_CON34	43_TASK07_CON35	43_TASK07_CON36	43_TASK07_CON37	43_TASK07_CON38	43_TASK07_CON39	43_TASK07_CON40	43_TASK07_CON41	43_TASK07_CON45	43_TASK07_CON46	43_TASK07_CON47	43_TASK07_CON48	43_TASK07_CON49	43_TASK07_CON50	43_TASK07_CON51	43_TASK07_CON52
43_TASK01_CON07_0.0_posneg	posneg	0.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0	228242.0
43_TASK01_CON07_0.0_pos	pos	0.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0	112760.0
43_TASK01_CON07_1.0_posneg	posneg	1.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0	149199.0
43_TASK01_CON07_1.0_pos	pos	1.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0	75294.0
43_TASK01_CON07_2.0_posneg	posneg	2.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0	89659.0
43_TASK01_CON07_2.0_pos	pos	2.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0	49402.0
43_TASK01_CON07_3.0_posneg	posneg	3.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0	50799.0
43_TASK01_CON07_3.0_pos	pos	3.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0	32840.0
43_TASK01_CON07_4.0_posneg	posneg	4.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0	28048.0
43_TASK01_CON07_4.0_pos	pos	4.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0	21556.0
