	direction	thresh	292_TASK01_CON07	292_TASK01_CON08	292_TASK01_CON09	292_TASK02_CON25	292_TASK02_CON26	292_TASK02_CON27	292_TASK03_CON19	292_TASK03_CON20	292_TASK03_CON22	292_TASK04_CON61	292_TASK04_CON62	292_TASK04_CON63	292_TASK04_CON64	292_TASK04_CON65	292_TASK04_CON66	292_TASK04_CON67	292_TASK04_CON68	292_TASK04_CON69	292_TASK04_CON70	292_TASK04_CON71	292_TASK04_CON72	292_TASK04_CON73	292_TASK05_CON13	292_TASK05_CON14	292_TASK05_CON15	292_TASK06_CON01	292_TASK06_CON02	292_TASK06_CON06	292_TASK07_CON31	292_TASK07_CON32	292_TASK07_CON33	292_TASK07_CON34	292_TASK07_CON35	292_TASK07_CON36	292_TASK07_CON37	292_TASK07_CON38	292_TASK07_CON39	292_TASK07_CON40	292_TASK07_CON41	292_TASK07_CON45	292_TASK07_CON46	292_TASK07_CON47	292_TASK07_CON48	292_TASK07_CON49	292_TASK07_CON50	292_TASK07_CON51	292_TASK07_CON52
292_TASK01_CON07_0.0_posneg	posneg	0.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0	228279.0
292_TASK01_CON07_0.0_pos	pos	0.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0	111125.0
292_TASK01_CON07_1.0_posneg	posneg	1.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0	153612.0
292_TASK01_CON07_1.0_pos	pos	1.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0	75957.0
292_TASK01_CON07_2.0_posneg	posneg	2.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0	93624.0
292_TASK01_CON07_2.0_pos	pos	2.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0	50554.0
292_TASK01_CON07_3.0_posneg	posneg	3.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0	54484.0
292_TASK01_CON07_3.0_pos	pos	3.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0	33737.0
292_TASK01_CON07_4.0_posneg	posneg	4.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0	30097.0
292_TASK01_CON07_4.0_pos	pos	4.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0	21577.0
