	direction	thresh	272_TASK01_CON07	272_TASK01_CON08	272_TASK01_CON09	272_TASK02_CON25	272_TASK02_CON26	272_TASK02_CON27	272_TASK03_CON19	272_TASK03_CON20	272_TASK03_CON22	272_TASK04_CON61	272_TASK04_CON62	272_TASK04_CON63	272_TASK04_CON64	272_TASK04_CON65	272_TASK04_CON66	272_TASK04_CON67	272_TASK04_CON68	272_TASK04_CON69	272_TASK04_CON70	272_TASK04_CON71	272_TASK04_CON72	272_TASK04_CON73	272_TASK05_CON13	272_TASK05_CON14	272_TASK05_CON15	272_TASK06_CON01	272_TASK06_CON02	272_TASK06_CON06	272_TASK07_CON31	272_TASK07_CON32	272_TASK07_CON33	272_TASK07_CON34	272_TASK07_CON35	272_TASK07_CON36	272_TASK07_CON37	272_TASK07_CON38	272_TASK07_CON39	272_TASK07_CON40	272_TASK07_CON41	272_TASK07_CON45	272_TASK07_CON46	272_TASK07_CON47	272_TASK07_CON48	272_TASK07_CON49	272_TASK07_CON50	272_TASK07_CON51	272_TASK07_CON52
272_TASK01_CON07_0.0_posneg	posneg	0.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0	228236.0
272_TASK01_CON07_0.0_pos	pos	0.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0	126750.0
272_TASK01_CON07_1.0_posneg	posneg	1.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0	144180.0
272_TASK01_CON07_1.0_pos	pos	1.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0	84636.0
272_TASK01_CON07_2.0_posneg	posneg	2.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0	83742.0
272_TASK01_CON07_2.0_pos	pos	2.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0	54658.0
272_TASK01_CON07_3.0_posneg	posneg	3.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0	47124.0
272_TASK01_CON07_3.0_pos	pos	3.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0	34999.0
272_TASK01_CON07_4.0_posneg	posneg	4.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0	26833.0
272_TASK01_CON07_4.0_pos	pos	4.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0	22844.0
272_TASK01_CON07_5.0_posneg	posneg	5.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0	14991.0
272_TASK01_CON07_5.0_pos	pos	5.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0	14030.0
272_TASK01_CON07_6.0_posneg	posneg	6.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0	7475.0
272_TASK01_CON07_6.0_pos	pos	6.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0	7293.0
272_TASK01_CON07_7.0_posneg	posneg	7.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0	2432.0
272_TASK01_CON07_7.0_pos	pos	7.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0	2407.0
272_TASK01_CON07_8.0_posneg	posneg	8.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0	321.0
272_TASK01_CON07_8.0_pos	pos	8.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0	320.0
272_TASK01_CON07_9.0_posneg	posneg	9.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0
272_TASK01_CON07_9.0_pos	pos	9.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0
272_TASK01_CON07_10.0_posneg	posneg	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
