	direction	thresh	480_TASK01_CON07	480_TASK01_CON08	480_TASK01_CON09	480_TASK02_CON25	480_TASK02_CON26	480_TASK02_CON27	480_TASK03_CON19	480_TASK03_CON20	480_TASK03_CON22	480_TASK04_CON61	480_TASK04_CON62	480_TASK04_CON63	480_TASK04_CON64	480_TASK04_CON65	480_TASK04_CON66	480_TASK04_CON67	480_TASK04_CON68	480_TASK04_CON69	480_TASK04_CON70	480_TASK04_CON71	480_TASK04_CON72	480_TASK04_CON73	480_TASK05_CON13	480_TASK05_CON14	480_TASK05_CON15	480_TASK06_CON01	480_TASK06_CON02	480_TASK06_CON06	480_TASK07_CON31	480_TASK07_CON32	480_TASK07_CON33	480_TASK07_CON34	480_TASK07_CON35	480_TASK07_CON36	480_TASK07_CON37	480_TASK07_CON38	480_TASK07_CON39	480_TASK07_CON40	480_TASK07_CON41	480_TASK07_CON45	480_TASK07_CON46	480_TASK07_CON47	480_TASK07_CON48	480_TASK07_CON49	480_TASK07_CON50	480_TASK07_CON51	480_TASK07_CON52
480_TASK01_CON07_0.0_posneg	posneg	0.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0	228339.0
480_TASK01_CON07_0.0_pos	pos	0.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0	112383.0
480_TASK01_CON07_1.0_posneg	posneg	1.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0	153064.0
480_TASK01_CON07_1.0_pos	pos	1.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0	77417.0
480_TASK01_CON07_2.0_posneg	posneg	2.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0	94054.0
480_TASK01_CON07_2.0_pos	pos	2.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0	52426.0
480_TASK01_CON07_3.0_posneg	posneg	3.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0	54678.0
480_TASK01_CON07_3.0_pos	pos	3.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0	35033.0
480_TASK01_CON07_4.0_posneg	posneg	4.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0	30782.0
480_TASK01_CON07_4.0_pos	pos	4.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0	23273.0
480_TASK01_CON07_5.0_posneg	posneg	5.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0	17099.0
480_TASK01_CON07_5.0_pos	pos	5.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0	14951.0
480_TASK01_CON07_6.0_posneg	posneg	6.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0	7952.0
