	TASK06_CON01_groupA_tstat1.nii.gz	TASK03_CON19_groupA_tstat1.nii.gz	TASK03_CON22_groupA_tstat1.nii.gz	TASK04_CON67_groupA_tstat1.nii.gz	TASK05_CON14_groupA_tstat1.nii.gz	TASK02_CON25_groupA_tstat1.nii.gz	TASK07_CON46_groupA_tstat1.nii.gz	TASK07_CON48_groupA_tstat1.nii.gz	TASK04_CON64_groupA_tstat1.nii.gz	TASK04_CON69_groupA_tstat1.nii.gz	TASK01_CON08_groupA_tstat1.nii.gz	TASK07_CON31_groupA_tstat1.nii.gz	TASK07_CON35_groupA_tstat1.nii.gz	TASK07_CON39_groupA_tstat1.nii.gz	TASK01_CON09_groupA_tstat1.nii.gz	TASK07_CON36_groupA_tstat1.nii.gz	TASK04_CON68_groupA_tstat1.nii.gz	TASK07_CON50_groupA_tstat1.nii.gz	TASK04_CON63_groupA_tstat1.nii.gz	TASK07_CON47_groupA_tstat1.nii.gz	TASK05_CON13_groupA_tstat1.nii.gz	TASK04_CON61_groupA_tstat1.nii.gz	TASK07_CON41_groupA_tstat1.nii.gz	TASK07_CON33_groupA_tstat1.nii.gz	TASK04_CON70_groupA_tstat1.nii.gz	TASK03_CON20_groupA_tstat1.nii.gz	TASK05_CON15_groupA_tstat1.nii.gz	TASK07_CON34_groupA_tstat1.nii.gz	TASK07_CON37_groupA_tstat1.nii.gz	TASK07_CON32_groupA_tstat1.nii.gz	TASK04_CON73_groupA_tstat1.nii.gz	TASK01_CON07_groupA_tstat1.nii.gz	TASK07_CON45_groupA_tstat1.nii.gz	TASK07_CON40_groupA_tstat1.nii.gz	TASK07_CON49_groupA_tstat1.nii.gz	TASK04_CON71_groupA_tstat1.nii.gz	TASK06_CON02_groupA_tstat1.nii.gz	TASK02_CON27_groupA_tstat1.nii.gz	TASK04_CON66_groupA_tstat1.nii.gz	TASK07_CON38_groupA_tstat1.nii.gz	TASK04_CON62_groupA_tstat1.nii.gz	TASK04_CON72_groupA_tstat1.nii.gz	TASK07_CON51_groupA_tstat1.nii.gz	TASK04_CON65_groupA_tstat1.nii.gz	TASK06_CON06_groupA_tstat1.nii.gz	TASK02_CON26_groupA_tstat1.nii.gz	TASK07_CON52_groupA_tstat1.nii.gz
TASK06_CON02_groupA_tstat1.nii.gz	0.887489	0.214109	-0.00553331	0.06188	0.555007	0.510619	0.549704	0.554915	0.0668367	0.0110546	0.563959	0.576113	0.611233	0.558177	0.31478	0.54425	0.430154	-0.269732	0.053297	0.550028	0.575744	0.428392	0.166532	0.536515	-0.0377845	0.180855	-0.15873	0.527996	0.542288	0.524978	0.0960933	0.641471	0.602707	0.599865	0.0435435	0.0343542	1.0	-0.196488	0.0795169	0.565426	0.0447538	-0.07108	0.168793	0.017174	0.546213	0.519319	-0.00650669
TASK02_CON27_groupA_tstat1.nii.gz	-0.233071	0.0792772	0.0667358	0.0799211	-0.21705	-0.0523165	-0.185989	-0.207921	0.07359	0.0403724	-0.144787	-0.20531	-0.214937	-0.197456	-0.078583	-0.167232	-0.123258	0.175258	0.00371424	-0.222173	-0.197156	-0.0842468	-0.0529786	-0.21895	-0.0774031	0.143305	0.164564	-0.185481	-0.221153	-0.201268	0.047984	-0.158262	-0.199812	-0.210314	0.0285218	0.0207963	-0.196488	1.0	0.0774879	-0.240277	0.0819414	-0.0227693	-0.126055	0.0541739	-0.0333743	-0.271844	-0.0575436
TASK04_CON66_groupA_tstat1.nii.gz	0.143745	0.248427	-0.164076	0.796742	0.0629914	0.119921	0.0849223	0.0397314	0.542312	-0.0959285	0.18949	0.0469795	0.098039	0.0276743	-0.151743	0.141265	0.0538439	0.144086	0.352166	-0.039979	0.0977888	0.369083	0.00895716	-0.0436302	-0.545773	0.118761	0.105204	0.0604124	-0.0505774	0.0172232	0.773244	0.0962416	0.0866118	0.0588606	0.230367	-0.215121	0.0795169	0.0774879	1.0	-0.00838861	0.589938	-0.487883	-0.258252	0.4458	-0.0987758	0.0967531	-0.0663306
TASK07_CON38_groupA_tstat1.nii.gz	0.586388	0.289956	-0.258996	-0.00226684	0.837928	0.783823	0.838232	0.951887	0.0101168	-0.0768951	0.720817	0.861436	0.877823	0.884907	0.330525	0.801366	0.432339	-0.538223	-0.00104995	0.902873	0.8336	0.420085	0.270427	0.881834	-0.0299318	0.0764848	-0.38351	0.876596	0.898712	0.821171	0.0401738	0.771361	0.880182	0.944733	-0.18257	0.0191982	0.565426	-0.240277	-0.00838861	1.0	-0.0486057	0.124433	0.359453	0.0792692	0.240021	0.795849	0.350916
TASK04_CON62_groupA_tstat1.nii.gz	0.144159	0.287267	-0.209265	0.881748	0.00991375	0.123582	0.0455928	0.0159898	0.84085	0.607568	0.186971	0.0166336	0.0354959	0.0074739	-0.259013	0.08445	0.0267974	0.147934	0.516396	-0.0741041	0.0629794	0.357549	0.0512632	-0.0771688	-0.432175	0.132817	0.167177	0.0435747	-0.0881538	-0.0136398	0.0472581	0.0375607	0.0462009	0.0139454	0.203009	0.231841	0.0447538	0.0819414	0.589938	-0.0486057	1.0	-0.366395	-0.258881	0.630616	-0.180204	0.107393	-0.0164891
TASK04_CON72_groupA_tstat1.nii.gz	-0.135178	-0.037416	0.0301932	-0.342967	0.0882348	0.0883219	0.174584	0.140945	-0.255458	-0.212503	0.0180959	0.160401	0.105396	0.177913	0.0168026	0.115334	-0.176838	0.00470794	-0.213012	0.157486	0.0558806	-0.306626	0.156565	0.162849	0.139449	0.0173075	-0.104542	0.138881	0.13512	0.194499	-0.441877	0.0368316	0.138606	0.129087	-0.0266844	0.0153633	-0.07108	-0.0227693	-0.487883	0.124433	-0.366395	1.0	0.0394534	0.340605	0.100004	0.105839	-0.044707
TASK07_CON51_groupA_tstat1.nii.gz	0.174006	-0.127832	-0.0410046	-0.304837	0.247295	0.165123	0.148579	0.258598	-0.231605	-0.0234115	0.108842	0.167489	0.133726	0.248626	0.117346	0.118952	0.11685	-0.508667	-0.206194	0.536721	0.227658	-0.00762621	-0.0266376	0.503838	0.106616	-0.175755	-0.229433	0.189599	0.569124	0.193505	-0.0805301	0.151697	0.129997	0.302721	-0.76024	0.0349551	0.168793	-0.126055	-0.258252	0.359453	-0.258881	0.0394534	1.0	-0.268498	0.0549352	0.171736	0.00337358
TASK04_CON65_groupA_tstat1.nii.gz	0.0578262	0.282303	-0.154286	0.743872	0.105803	0.213928	0.226675	0.157622	0.674454	0.0677247	0.251507	0.165428	0.16633	0.16858	-0.22609	0.239814	-0.135266	0.181896	0.49442	0.0647094	0.136174	0.158119	0.130895	0.0563048	-0.322425	0.195983	0.0971783	0.179644	0.0443001	0.161417	-0.0497002	0.121887	0.192207	0.160489	0.20836	0.100768	0.017174	0.0541739	0.4458	0.0792692	0.630616	0.340605	-0.268498	1.0	-0.066721	0.209508	-0.0594759
TASK06_CON06_groupA_tstat1.nii.gz	0.167814	0.0912748	0.325821	-0.129176	0.138859	0.0911685	0.223915	0.197243	-0.149341	-0.143419	0.126938	0.209932	0.287576	0.208019	0.427303	0.244016	-0.00243011	-0.070006	0.00751188	0.212996	0.145283	-0.0448892	-0.0830833	0.201003	0.167397	0.335451	-0.0332723	0.161928	0.234617	0.201352	0.00251803	0.309675	0.251673	0.272994	0.0264993	-0.069202	0.546213	-0.0333743	-0.0987758	0.240021	-0.180204	0.100004	0.0549352	-0.066721	1.0	0.091892	-0.0735806
TASK02_CON26_groupA_tstat1.nii.gz	0.601555	0.407884	-0.512348	0.13236	0.861246	0.960814	0.796762	0.861187	0.164499	0.019123	0.759935	0.861271	0.80305	0.865686	0.137541	0.695541	0.443556	-0.450622	0.114049	0.798162	0.82835	0.474576	0.510935	0.791661	-0.0724371	0.0273699	-0.459949	0.862075	0.749762	0.801397	0.0561194	0.714114	0.859954	0.816906	0.0632761	0.0904815	0.519319	-0.271844	0.0967531	0.795849	0.107393	0.105839	0.171736	0.209508	0.091892	1.0	0.238104
TASK07_CON52_groupA_tstat1.nii.gz	0.0303278	0.15398	0.0575435	-0.0267014	0.260727	0.238142	-0.014308	0.320156	-0.0321301	0.0121005	0.366655	0.0858989	0.181099	0.114023	-0.0291526	0.0204269	0.185274	-0.582617	0.0415821	0.106739	0.288251	0.193663	-0.167776	0.0705345	0.0723108	0.202944	-0.0147256	0.289112	0.178251	-0.0160664	-0.0627537	0.29123	0.127467	0.186531	-0.101988	-0.0079874	-0.00650669	-0.0575436	-0.0663306	0.350916	-0.0164891	-0.044707	0.00337358	-0.0594759	-0.0735806	0.238104	1.0
