	TASK01_CON07_groupB_tstat1.nii.gz	TASK04_CON64_groupB_tstat1.nii.gz	TASK07_CON50_groupB_tstat1.nii.gz	TASK04_CON69_groupB_tstat1.nii.gz	TASK07_CON31_groupB_tstat1.nii.gz	TASK07_CON34_groupB_tstat1.nii.gz	TASK02_CON27_groupB_tstat1.nii.gz	TASK05_CON13_groupB_tstat1.nii.gz	TASK07_CON51_groupB_tstat1.nii.gz	TASK04_CON71_groupB_tstat1.nii.gz	TASK06_CON01_groupB_tstat1.nii.gz	TASK07_CON38_groupB_tstat1.nii.gz	TASK07_CON35_groupB_tstat1.nii.gz	TASK04_CON65_groupB_tstat1.nii.gz	TASK07_CON40_groupB_tstat1.nii.gz	TASK07_CON45_groupB_tstat1.nii.gz	TASK01_CON08_groupB_tstat1.nii.gz	TASK07_CON52_groupB_tstat1.nii.gz	TASK07_CON33_groupB_tstat1.nii.gz	TASK05_CON14_groupB_tstat1.nii.gz	TASK06_CON02_groupB_tstat1.nii.gz	TASK07_CON37_groupB_tstat1.nii.gz	TASK07_CON32_groupB_tstat1.nii.gz	TASK07_CON49_groupB_tstat1.nii.gz	TASK07_CON47_groupB_tstat1.nii.gz	TASK07_CON46_groupB_tstat1.nii.gz	TASK07_CON48_groupB_tstat1.nii.gz	TASK04_CON68_groupB_tstat1.nii.gz	TASK04_CON61_groupB_tstat1.nii.gz	TASK04_CON62_groupB_tstat1.nii.gz	TASK06_CON06_groupB_tstat1.nii.gz	TASK03_CON22_groupB_tstat1.nii.gz	TASK07_CON39_groupB_tstat1.nii.gz	TASK03_CON19_groupB_tstat1.nii.gz	TASK03_CON20_groupB_tstat1.nii.gz	TASK04_CON67_groupB_tstat1.nii.gz	TASK04_CON72_groupB_tstat1.nii.gz	TASK04_CON70_groupB_tstat1.nii.gz	TASK04_CON66_groupB_tstat1.nii.gz	TASK05_CON15_groupB_tstat1.nii.gz	TASK07_CON36_groupB_tstat1.nii.gz	TASK07_CON41_groupB_tstat1.nii.gz	TASK04_CON73_groupB_tstat1.nii.gz	TASK02_CON25_groupB_tstat1.nii.gz	TASK04_CON63_groupB_tstat1.nii.gz	TASK01_CON09_groupB_tstat1.nii.gz	TASK02_CON26_groupB_tstat1.nii.gz
TASK03_CON20_groupB_tstat1.nii.gz	0.287302	0.0928883	0.0930952	0.00493934	0.0321299	0.0904595	0.106154	0.0769646	-0.196993	-0.12188	0.0660827	0.0799937	0.0983117	0.224928	0.108304	0.0761867	0.263392	0.165408	-0.0476507	0.0551426	0.208253	0.0241573	0.0172725	0.0111782	-0.0225588	0.0927846	0.090501	-0.0591801	0.015814	0.147678	0.339256	0.369165	0.0355754	0.651239	1.0	0.17071	0.0789836	0.0756707	0.106637	0.0899755	0.187785	-0.131658	-0.0119917	0.0324906	0.229075	0.136357	0.0165054
TASK04_CON67_groupB_tstat1.nii.gz	0.0926668	0.861362	0.176169	0.100326	0.10101	0.111915	-0.0122966	0.0922122	-0.314449	0.04631	0.18166	0.0583633	0.137785	0.746114	0.125376	0.140158	0.23188	0.00110354	-0.0247868	0.069342	0.107693	0.0149083	0.0851753	0.228405	-0.00217315	0.153306	0.105539	0.0173638	0.394049	0.880109	-0.13961	-0.163412	0.085734	0.304815	0.17071	1.0	-0.369163	-0.412459	0.814495	0.108533	0.200021	0.0251206	0.317832	0.123022	0.68043	-0.244114	0.129826
TASK04_CON72_groupB_tstat1.nii.gz	0.10485	-0.326473	-0.0160879	-0.164182	0.134372	0.118537	0.0245868	0.0629132	0.107376	-0.0726739	-0.125943	0.144131	0.07864	0.3136	0.147042	0.115538	0.0823334	0.0330029	0.1452	0.0877106	-0.0650156	0.164748	0.147477	-0.143492	0.165057	0.159812	0.136053	-0.24899	-0.371816	-0.376597	0.139288	0.112097	0.154724	-0.0498147	0.0789836	-0.369163	1.0	0.196662	-0.519048	-0.0898106	0.147003	0.0452135	-0.486674	0.0985173	-0.218445	0.0549563	0.10086
TASK04_CON70_groupB_tstat1.nii.gz	-0.0361496	-0.488244	-0.0454158	-0.149091	-0.0748383	-0.0863544	0.0209544	-0.108716	0.0992073	-0.31342	-0.163806	-0.0763197	-0.143446	-0.27598	-0.105391	-0.111937	-0.0630428	0.0787866	-0.0665454	-0.0823597	-0.0964158	-0.0385236	-0.0880589	-0.112307	-0.052638	-0.120787	-0.0834758	-0.210137	-0.362487	-0.399542	0.138244	0.184554	-0.0749862	-0.0993449	0.0756707	-0.412459	0.196662	1.0	-0.525322	-0.0632838	-0.135555	-0.0238452	-0.454717	-0.101763	0.349024	0.0405959	-0.10137
TASK04_CON66_groupB_tstat1.nii.gz	0.0839191	0.58888	0.13783	-0.181447	0.0742867	0.0927258	-0.00379638	0.101622	-0.265482	-0.180718	0.199344	0.0548261	0.146762	0.459965	0.10327	0.119802	0.179388	-0.0225447	-0.0152933	0.0785367	0.143372	0.00558611	0.084635	0.216251	-0.00479439	0.127362	0.0870002	0.100525	0.410149	0.594116	-0.109894	-0.16616	0.0627309	0.26087	0.106637	0.814495	-0.519048	-0.525322	1.0	0.0761284	0.153581	0.0257738	0.786828	0.122729	0.415473	-0.16049	0.119643
TASK05_CON15_groupB_tstat1.nii.gz	-0.146213	0.097445	0.105425	-0.0194693	-0.412733	-0.393351	0.0201619	-0.247513	-0.213923	0.0154868	-0.158186	-0.304132	-0.314995	0.0500899	-0.315244	-0.373671	-0.117359	0.0606546	-0.436597	-0.450789	-0.119691	-0.318013	-0.473175	0.130314	-0.396223	-0.413145	-0.363481	0.0216897	0.0498625	0.0799163	0.0135806	0.294818	-0.432635	-0.1503	0.0899755	0.108533	-0.0898106	-0.0632838	0.0761284	1.0	-0.262033	-0.481512	-0.00282401	-0.395309	0.0597261	-0.112826	-0.387707
TASK07_CON36_groupB_tstat1.nii.gz	0.738869	0.153938	-0.127739	-0.0668292	0.836286	0.82144	-0.130393	0.754991	0.148866	-0.0249814	0.528641	0.810848	0.827866	0.307228	0.891399	0.846451	0.654915	0.121655	0.748218	0.739124	0.51857	0.784358	0.786229	-0.171571	0.769661	0.910477	0.827375	0.366654	0.438247	0.128818	0.196365	-0.24052	0.815236	0.383196	0.187785	0.200021	0.147003	-0.135555	0.153581	-0.262033	1.0	0.198177	0.0860667	0.704853	0.112128	0.374768	0.709935
TASK07_CON41_groupB_tstat1.nii.gz	0.0765038	0.0769498	-0.0136734	0.0535229	0.527935	0.482641	0.000974521	0.375564	0.0201122	0.107587	0.253847	0.251683	0.285019	0.078203	0.294022	0.450284	0.131998	-0.134359	0.511265	0.472691	0.174163	0.250469	0.608415	0.105665	0.429356	0.495445	0.42086	0.198994	0.186634	0.0516005	-0.0976402	-0.691003	0.569224	0.43131	-0.131658	0.0251206	0.0452135	-0.0238452	0.0257738	-0.481512	0.198177	1.0	0.0510319	0.476965	0.0286041	-0.100918	0.479674
TASK04_CON73_groupB_tstat1.nii.gz	0.0698833	0.0867987	0.0325127	-0.401818	0.0634035	0.0831555	0.0112737	0.121225	-0.0901698	-0.34772	0.15403	0.0686668	0.135378	-0.0190908	0.0845706	0.097065	0.0654074	-0.0377452	0.0451173	0.107468	0.143396	0.0347589	0.0985883	0.105623	0.0383744	0.0991931	0.0796857	0.177482	0.307044	0.0765907	-0.0213313	-0.143047	0.0641155	0.134217	-0.0119917	0.317832	-0.486674	-0.454717	0.786828	-0.00282401	0.0860667	0.0510319	1.0	0.10471	-0.0262636	0.0209849	0.0915232
TASK02_CON25_groupB_tstat1.nii.gz	0.72743	0.111814	-0.423085	-0.0165552	0.861505	0.859554	-0.00972522	0.830294	0.189652	0.0263887	0.614117	0.802011	0.814372	0.207602	0.823032	0.862242	0.727005	0.269716	0.791141	0.8483	0.533692	0.765559	0.824841	-0.0317218	0.79815	0.814593	0.857157	0.454621	0.493048	0.0883313	0.0694441	-0.510341	0.862828	0.451602	0.0324906	0.123022	0.0985173	-0.101763	0.122729	-0.395309	0.704853	0.476965	0.10471	1.0	0.0829628	0.231878	0.961007
TASK04_CON63_groupB_tstat1.nii.gz	0.0921157	0.498362	0.125092	0.00109576	0.0685587	0.0698411	-0.0127334	0.0420208	-0.231688	-0.167929	0.0800129	0.0211702	0.0535697	0.548179	0.0638834	0.0787298	0.215368	0.0609076	-0.0534128	0.0356985	0.0550554	0.00666865	0.0434833	0.148706	-0.0206061	0.0820551	0.0639862	-0.125544	0.138534	0.581812	-0.0322032	-0.0504388	0.0517995	0.250779	0.229075	0.68043	-0.218445	0.349024	0.415473	0.0597261	0.112128	0.0286041	-0.0262636	0.0829628	1.0	-0.214034	0.0905093
TASK01_CON09_groupB_tstat1.nii.gz	0.489198	-0.268183	-0.000801211	-0.0833495	0.255992	0.241103	0.00144972	0.27706	0.160501	-0.102961	0.195913	0.34502	0.337131	-0.217295	0.341194	0.28405	0.0964077	-0.0240476	0.288332	0.262037	0.322149	0.319181	0.303261	-0.199792	0.291425	0.327028	0.275087	0.183724	0.10311	-0.256059	0.404537	0.232142	0.259015	-0.0517939	0.136357	-0.244114	0.0549563	0.0405959	-0.16049	-0.112826	0.374768	-0.100918	0.0209849	0.231878	-0.214034	1.0	0.21929
TASK02_CON26_groupB_tstat1.nii.gz	0.736265	0.125804	-0.436687	-0.00760688	0.870819	0.869584	-0.233497	0.848691	0.193572	0.0428188	0.627219	0.811435	0.816636	0.216355	0.83552	0.869401	0.741975	0.282603	0.799141	0.865229	0.543799	0.780653	0.827287	-0.0289785	0.811891	0.820339	0.870131	0.460891	0.500976	0.0993438	0.0691629	-0.52961	0.873685	0.449643	0.0165054	0.129826	0.10086	-0.10137	0.119643	-0.387707	0.709935	0.479674	0.0915232	0.961007	0.0905093	0.21929	1.0
