	TASK01_CON07_groupB_tstat1.nii.gz	TASK04_CON64_groupB_tstat1.nii.gz	TASK07_CON50_groupB_tstat1.nii.gz	TASK04_CON69_groupB_tstat1.nii.gz	TASK07_CON31_groupB_tstat1.nii.gz	TASK07_CON34_groupB_tstat1.nii.gz	TASK02_CON27_groupB_tstat1.nii.gz	TASK05_CON13_groupB_tstat1.nii.gz	TASK07_CON51_groupB_tstat1.nii.gz	TASK04_CON71_groupB_tstat1.nii.gz	TASK06_CON01_groupB_tstat1.nii.gz	TASK07_CON38_groupB_tstat1.nii.gz	TASK07_CON35_groupB_tstat1.nii.gz	TASK04_CON65_groupB_tstat1.nii.gz	TASK07_CON40_groupB_tstat1.nii.gz	TASK07_CON45_groupB_tstat1.nii.gz	TASK01_CON08_groupB_tstat1.nii.gz	TASK07_CON52_groupB_tstat1.nii.gz	TASK07_CON33_groupB_tstat1.nii.gz	TASK05_CON14_groupB_tstat1.nii.gz	TASK06_CON02_groupB_tstat1.nii.gz	TASK07_CON37_groupB_tstat1.nii.gz	TASK07_CON32_groupB_tstat1.nii.gz	TASK07_CON49_groupB_tstat1.nii.gz	TASK07_CON47_groupB_tstat1.nii.gz	TASK07_CON46_groupB_tstat1.nii.gz	TASK07_CON48_groupB_tstat1.nii.gz	TASK04_CON68_groupB_tstat1.nii.gz	TASK04_CON61_groupB_tstat1.nii.gz	TASK04_CON62_groupB_tstat1.nii.gz	TASK06_CON06_groupB_tstat1.nii.gz	TASK03_CON22_groupB_tstat1.nii.gz	TASK07_CON39_groupB_tstat1.nii.gz	TASK03_CON19_groupB_tstat1.nii.gz	TASK03_CON20_groupB_tstat1.nii.gz	TASK04_CON67_groupB_tstat1.nii.gz	TASK04_CON72_groupB_tstat1.nii.gz	TASK04_CON70_groupB_tstat1.nii.gz	TASK04_CON66_groupB_tstat1.nii.gz	TASK05_CON15_groupB_tstat1.nii.gz	TASK07_CON36_groupB_tstat1.nii.gz	TASK07_CON41_groupB_tstat1.nii.gz	TASK04_CON73_groupB_tstat1.nii.gz	TASK02_CON25_groupB_tstat1.nii.gz	TASK04_CON63_groupB_tstat1.nii.gz	TASK01_CON09_groupB_tstat1.nii.gz	TASK02_CON26_groupB_tstat1.nii.gz
TASK06_CON01_groupB_tstat1.nii.gz	0.621415	0.177637	-0.313338	0.021757	0.625736	0.593387	-0.215603	0.637845	0.165795	0.0823673	1.0	0.594908	0.647436	0.104677	0.607384	0.640615	0.606939	0.0953661	0.580325	0.614624	0.900199	0.562972	0.593462	0.0473807	0.57744	0.586379	0.604813	0.564655	0.596427	0.155333	0.13968	-0.240964	0.605363	0.30106	0.0660827	0.18166	-0.125943	-0.163806	0.199344	-0.158186	0.528641	0.253847	0.15403	0.614117	0.0800129	0.195913	0.627219
TASK07_CON38_groupB_tstat1.nii.gz	0.780827	0.0314548	-0.51289	-0.0832488	0.87187	0.882786	-0.184337	0.86212	0.361654	-0.0228714	0.594908	1.0	0.873563	0.162722	0.947321	0.885372	0.724729	0.409893	0.878903	0.849719	0.563189	0.902888	0.836453	-0.255519	0.901643	0.853097	0.954373	0.419985	0.438861	0.000392617	0.172929	-0.319956	0.887881	0.351161	0.0799937	0.0583633	0.144131	-0.0763197	0.0548261	-0.304132	0.810848	0.251683	0.0686668	0.802011	0.0211702	0.34502	0.811435
TASK07_CON35_groupB_tstat1.nii.gz	0.785536	0.119327	-0.435288	-0.0677266	0.884647	0.906453	-0.174236	0.845453	0.149482	0.0215969	0.647436	0.873563	1.0	0.199106	0.927249	0.958388	0.731768	0.225851	0.813529	0.838242	0.615817	0.816388	0.837965	0.0553928	0.821968	0.865119	0.906992	0.478807	0.524898	0.074464	0.210953	-0.365476	0.883534	0.415034	0.0983117	0.137785	0.07864	-0.143446	0.146762	-0.314995	0.827866	0.285019	0.135378	0.814372	0.0535697	0.337131	0.816636
TASK04_CON65_groupB_tstat1.nii.gz	0.16705	0.65233	0.16819	0.0043004	0.20377	0.202547	0.00156313	0.145465	-0.239327	0.0238801	0.104677	0.162722	0.199106	1.0	0.233402	0.228874	0.296637	0.0128126	0.0849722	0.138105	0.0707611	0.135907	0.199371	0.132864	0.120943	0.274242	0.207323	-0.146186	0.148353	0.633616	-0.0442891	-0.10586	0.202869	0.285017	0.224928	0.746114	0.3136	-0.27598	0.459965	0.0500899	0.307228	0.078203	-0.0190908	0.207602	0.548179	-0.217295	0.216355
TASK07_CON40_groupB_tstat1.nii.gz	0.787863	0.0979459	-0.422676	-0.0769516	0.915138	0.922434	-0.167509	0.873762	0.306232	-0.00727352	0.607384	0.947321	0.927249	0.233402	1.0	0.946956	0.731308	0.257863	0.893741	0.869845	0.584081	0.933888	0.874032	-0.1708	0.932716	0.926294	0.962615	0.402548	0.446883	0.0609529	0.207349	-0.371774	0.93835	0.414269	0.108304	0.125376	0.147042	-0.105391	0.10327	-0.315244	0.891399	0.294022	0.0845706	0.823032	0.0638834	0.341194	0.83552
TASK07_CON45_groupB_tstat1.nii.gz	0.760335	0.129825	-0.40665	-0.0476046	0.972242	0.94496	-0.159952	0.874309	0.158718	0.0340201	0.640615	0.885372	0.958388	0.228874	0.946956	1.0	0.727622	0.195576	0.870757	0.885852	0.596862	0.840168	0.900676	0.0481322	0.874903	0.924216	0.945442	0.457718	0.503556	0.0874239	0.179208	-0.476085	0.960121	0.473809	0.0761867	0.140158	0.115538	-0.111937	0.119802	-0.373671	0.846451	0.450284	0.097065	0.862242	0.0787298	0.28405	0.869401
TASK01_CON08_groupB_tstat1.nii.gz	0.902209	0.184954	-0.510154	-0.0250129	0.696225	0.737626	-0.206475	0.76869	0.110049	-0.0169427	0.606939	0.724729	0.731768	0.296637	0.731308	0.727622	1.0	0.456384	0.588984	0.724963	0.543377	0.669513	0.57248	0.00403142	0.629946	0.626525	0.744543	0.422126	0.502909	0.177637	0.064715	-0.270728	0.672622	0.489339	0.263392	0.23188	0.0823334	-0.0630428	0.179388	-0.117359	0.654915	0.131998	0.0654074	0.727005	0.215368	0.0964077	0.741975
TASK07_CON52_groupB_tstat1.nii.gz	0.374519	-0.0592447	-0.581072	-0.0168268	0.172833	0.357239	-0.120737	0.352591	-0.00166254	-0.117345	0.0953661	0.409893	0.225851	0.0128126	0.257863	0.195576	0.456384	1.0	0.133937	0.306756	0.029356	0.242548	0.0659825	-0.141363	0.176854	0.0754055	0.386437	0.212147	0.214706	-0.0187319	-0.147298	0.00050125	0.189414	0.154607	0.165408	0.00110354	0.0330029	0.0787866	-0.0225447	0.0606546	0.121655	-0.134359	-0.0377452	0.269716	0.0609076	-0.0240476	0.282603
TASK07_CON33_groupB_tstat1.nii.gz	0.640621	-0.00820541	-0.467511	-0.0539777	0.886707	0.870764	-0.160218	0.829008	0.525197	0.0366577	0.580325	0.878903	0.813529	0.0849722	0.893741	0.870757	0.588984	0.133937	1.0	0.853998	0.537204	0.89547	0.88577	-0.29957	0.976133	0.87015	0.900093	0.406861	0.387491	-0.0527122	0.145389	-0.490784	0.937796	0.364034	-0.0476507	-0.0247868	0.1452	-0.0665454	-0.0152933	-0.436597	0.748218	0.511265	0.0451173	0.791141	-0.0534128	0.288332	0.799141
TASK05_CON14_groupB_tstat1.nii.gz	0.745068	0.0488633	-0.494151	-0.0335227	0.882792	0.902028	-0.207372	0.965087	0.271497	-0.00553041	0.614624	0.849719	0.838242	0.138105	0.869845	0.885852	0.724963	0.306756	0.853998	1.0	0.556256	0.820502	0.832598	-0.0956396	0.860377	0.835492	0.905597	0.52901	0.541853	0.0338296	0.0935242	-0.525673	0.901138	0.479665	0.0551426	0.069342	0.0877106	-0.0823597	0.0785367	-0.450789	0.739124	0.472691	0.107468	0.8483	0.0356985	0.262037	0.865229
