direction,thresh,strategy,accuracy_mean,up,down
posneg,6,svi.pearson,0.4421189001,0.4472078263,0.437029974
posneg,5,svi.spearman,0.4034670752,0.4079321119,0.3990020384
pos,4,svi.spearman,0.4029948988,0.4070080035,0.3989817942
pos,6,svi.pearson,0.3774472943,0.3821204707,0.3727741179
posneg,7,cca.pearson,0.3416622298,0.345644753,0.3376797067
posneg,7,svi.pearson,0.3371629912,0.3418450166,0.3324809659
pos,5,svi.spearman,0.2937672521,0.2973494758,0.2901850284
posneg,6,svi.spearman,0.2814007322,0.2854039869,0.2773974776
posneg,6,cca.spearman,0.27692584,0.28092816,0.27292352
pos,7,svi.pearson,0.2723139846,0.2764447889,0.2681831804
pos,7,cca.pearson,0.2609050868,0.2647026417,0.257107532
posneg,8,svi.pearson,0.2551789913,0.2589757813,0.2513822013
pos,7,cca.spearman,0.2249365846,0.2284891213,0.2213840479
posneg,7,svi.spearman,0.2226229108,0.2262473265,0.2189984951
posneg,8,svi.spearman,0.1956998945,0.1991443745,0.1922554145
pos,8,svi.pearson,0.1948229409,0.1981642833,0.1914815985
pos,6,svi.spearman,0.1920922011,0.1952759697,0.1889084326
posneg,9,svi.pearson,0.1785589398,0.1818036062,0.1753142735
posneg,8,cca.pearson,0.1617618375,0.1648435592,0.1586801158
pos,7,svi.spearman,0.1553340771,0.1583215121,0.1523466421
posneg,7,cca.spearman,0.1517935418,0.1549208357,0.1486662478
pos,8,svi.spearman,0.1413858155,0.1442900157,0.1384816153
pos,9,svi.pearson,0.1397078536,0.1427369688,0.1366787383
posneg,9,svi.spearman,0.1265104003,0.1293003842,0.1237204164
pos,9,svi.spearman,0.1065780526,0.1092325521,0.103923553
pos,8,cca.pearson,0.0839340499,0.0861743,0.0816937999
posneg,8,cca.spearman,0.0837922535,0.0860225898,0.0815619172
pos,8,cca.spearman,0.0763074349,0.0784345668,0.0741803029
posneg,10,svi.pearson,0.0577881667,0.0595731691,0.0560031643
pos,10,svi.pearson,0.0499857043,0.0517174533,0.0482539554
posneg,10,svi.spearman,0.0489967887,0.0506516817,0.0473418957
pos,10,svi.spearman,0.046505522,0.0481802123,0.0448308317
posneg,9,cca.pearson,0.0453533742,0.0469229646,0.0437837837
pos,11,cca.pearson,0.0425531915,0.0446368246,0.0404695584
pos,12,cca.pearson,0.0425531915,0.0446368246,0.0404695584
pos,13,cca.pearson,0.0425531915,0.0446368246,0.0404695584
pos,11,cca.spearman,0.0425531915,0.0446368246,0.0404695584
pos,12,cca.spearman,0.0425531915,0.0446368246,0.0404695584
pos,13,cca.spearman,0.0425531915,0.0446368246,0.0404695584
pos,12,svi.pearson,0.0425531915,0.0446368246,0.0404695584
pos,13,svi.pearson,0.0425531915,0.0446368246,0.0404695584
pos,12,svi.spearman,0.0425531915,0.0446368246,0.0404695584
pos,13,svi.spearman,0.0425531915,0.0446368246,0.0404695584
posneg,11,cca.pearson,0.0425531915,0.0446368246,0.0404695584
posneg,12,cca.pearson,0.0425531915,0.0446368246,0.0404695584
